AutoLeadID,leadcreationmonth,leadcreationday,actionableminute,attemptedcontactminute,adjustedattemptedcontactminute,actualcontactminute,firstappointmentday,firstappointmentconfirmationday,appointments,leadage,hasSalesRepEmail,hasSalesRepCall,hasCustomerReplyEmail,hasAutoResponderEmail,firstsalesrepemailday,firstsalesrepcallday,visits,firstvisitday,lastvisitday,pricechanges,firstpricechangeday,lastpricechangeday,Sold
168737396,1,1,0,2387,2387,2397,0,662,0,3,0,1,0,1,953558,2387,1,3,3,0,1,10,Sold
168782824,1,1,0,3,3,953539,-402,662,1,662,1,1,0,1,6649,3,0,662,662,0,0,565,Active
168813199,1,1,786,953527,952741,953527,0,662,0,662,0,0,0,0,953527,953527,0,662,662,0,0,0,Active
168824685,1,1,932,916,-16,2434,2,662,1,2,1,1,0,1,2437,916,1,1,1,0,0,74,Sold
168825382,1,1,751,3,-748,904192,0,662,0,662,1,1,1,0,3,187998,1,621,621,0,0,630,Active
168845232,1,1,0,919600,919600,953512,-139,662,4,662,0,1,0,1,953512,919600,0,662,662,0,638,638,Active
168855855,1,1,824,2232,1408,2295,1,662,1,1,1,1,0,1,2232,2294,1,1,1,0,0,366,Sold
168923424,1,1,716,875,159,676360,7,662,1,7,1,1,1,1,5270,875,1,7,7,0,0,628,Sold
168935797,1,1,858,845,-13,2242,1,1,1,1,1,1,0,1,845,846,1,1,1,0,0,33,Sold
168959215,1,1,721,2671,1950,2672,19,662,1,19,1,1,0,1,2672,2671,1,19,19,0,0,567,Sold
168973221,1,1,651,691,40,202191,119,662,1,662,1,1,1,1,692,691,0,662,662,0,0,581,Active
169012821,1,1,642,2309,1667,62696,2,2,2,2,1,1,1,1,3494,2309,1,2,2,0,0,44,Sold
169027098,1,1,779,776,-3,2486,0,662,0,54,1,1,0,1,776,865,1,54,54,0,0,54,Sold
169047921,1,1,667,2167,1500,2168,0,662,0,1,1,1,0,1,2169,2167,1,1,1,0,1,640,Sold
169050977,1,1,555,2,-553,752174,527,662,2,662,1,1,1,0,2,2115,0,662,662,0,0,527,Active
169053046,1,1,570,2397,1827,6784,4,4,1,4,1,1,1,1,2397,33677,1,4,4,0,0,43,Sold
169054314,1,1,0,885,885,886,1,662,1,1,1,1,0,1,4019,885,1,1,1,0,0,5,Sold
169056864,1,1,600,669,69,2099,-146,662,2,1,0,1,0,1,953191,669,2,0,1,0,0,4,Sold
169056946,1,1,596,631,35,3515,0,662,0,662,1,0,1,1,631,953187,0,662,662,0,0,416,Active
169060637,1,1,278,413,135,953019,0,662,0,662,1,1,0,1,413,1813,0,662,662,0,0,607,Active
169061316,1,1,213,1,-212,3380,4,662,2,662,1,1,0,1,1,1732,0,662,662,0,0,616,Active
169063224,1,1,136,171,35,952877,0,662,0,662,1,0,1,1,171,952877,0,662,662,0,0,365,Active
169065531,1,1,25,160,135,952766,0,662,0,662,1,1,0,1,160,1559,0,662,662,0,0,600,Active
169065924,1,1,9,37,28,302845,2,2,1,2,1,1,1,1,37,2938,1,2,2,0,0,211,Sold
169066663,1,1,0,952727,952727,952727,0,662,0,662,0,0,0,0,952727,952727,0,662,662,0,0,0,Active
169066725,1,1,44,952725,952681,952725,0,662,0,662,0,0,0,0,952725,952725,0,662,662,0,0,0,Active
169068316,1,1,0,1,1,213,8,70,2,662,1,1,1,1,1,5828,1,70,70,0,0,457,Active
169068467,1,1,0,149,149,952675,-1098,-1098,1,662,1,1,0,1,149,222,0,662,662,0,0,394,Active
169072632,1,1,0,952588,952588,952588,0,662,0,662,0,0,0,0,952588,952588,0,662,662,0,0,0,Active
169073572,1,1,0,24,24,189082,0,662,0,121,1,1,1,1,24,1329,1,121,121,0,0,493,Sold
169094625,1,1,1153,210,-943,30519,2,2,1,2,1,1,1,1,210,5563,1,2,2,0,0,526,Sold
